ISSN	Título	Área de Avaliação	Estrato
00000002	COMPARATIVE LITERATURE AND TRANSCULTURAL STUDIES	LINGUíSTICA E LITERATURA	C
0000000X	DISCOVERY TOOLS, A BIBLIOGRAPHY	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B3
00001234	E-MOSAICOS	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	B2
00010782	COMMUNICATIONS OF THE ACM	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00011452	AIAA JOURNAL (PRINT)	ENGENHARIAS III                                   	A2
00011541	AICHE JOURNAL	CIÊNCIA DE ALIMENTOS                              	A1
00012092	AORN JOURNAL	ENFERMAGEM                                        	A2
00012343	ARSP. ARCHIV FUR RECHTS- UND SOZIALPHILOSOPHIE	DIREITO                                           	A1
00012491	ASHRAE JOURNAL	ENGENHARIAS III                                   	B3
00012998	SEMINARS IN NUCLEAR MEDICINE	MEDICINA I                                        	A1
00013072	ABACUS (SYDNEY. PRINT)	CIÊNCIAS AMBIENTAIS	A2
00013765	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
00013838	BOLETIM DA ACADEMIA NACIONAL DE MEDICINA	CIÊNCIAS BIOLÓGICAS II                            	B4
00014079	BULLETIN DE L'ACADÉMIE NATIONALE DE MÉDECINE	CIÊNCIAS BIOLÓGICAS I                             	B3
00014265	ACADEMY OF GENERAL DENTISTRY	INTERDISCIPLINAR                                  	B2
00014273	ACADEMY OF MANAGEMENT JOURNAL	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00014346	MATHEMATICAL NOTES	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	B1
00014575	ACCIDENT ANALYSIS AND PREVENTION	ARQUITETURA, URBANISMO E DESIGN	A1
00014842	ACCOUNTS OF CHEMICAL RESEARCH	ASTRONOMIA / FÍSICA                               	A1
00014966	THE JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA	ASTRONOMIA / FÍSICA                               	A2
